,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kOffAMP,0.003,0.001,3.0,56.0,
kOffADP,0.076,0.023,4.0,87.0,
kOffATP,0.0,0.0,8.0,70.0,
kOffCaMKK,0.177,0.051,4.0,165.0,
kPhosCaMKK,0.001,0.0,4.0,76.0,
kOffLKB1,7.498,2.428,4.0,96.0,
alphaLKB1,0.013,0.004,4.0,68.0,
kPhosLKB1,0.018,0.005,4.0,51.0,
kOffPP,0.019,0.019,40.0,35.0,
alphaPP,0.247,2.673,968.0,70.0,
kDephosPP,0.0,0.0,5.0,180.0,
kOffAMPK,10.103,3.178,5.0,53.0,
kPhosAMPK,0.013,0.006,5.0,79.0,
betaAMP,9.107,2.859,5.0,59.0,
kOffPP1,0.001,0.002,975.0,693.0,
kDephosPP1,0.0,0.0,18.0,98.0,
